*Au+ Q  % XX344LF006.TextGrid
nenkqubo ne!\~ub_<O  % XX077CM034.TextGrid XX234CM035.TextGrid
nenkqubo nEN!\ub_<O  % XX054CF022.TextGrid
nenkqubo ne:N!\ub_<O  % XX208CF038.TextGrid
nenkqubo neN!\u:b_<O  % XX172LM029.TextGrid
nenkqubo eN!\ub_<O  % XX184LM032.TextGrid
nentlekele nEnt-\K_>Ek_>ElE  % XX065LF020.TextGrid XX173LM025.TextGrid XX335CM027.TextGrid
neqanda nE!\anda  % XX096LM028.TextGrid
neshumi neSumi  % XX131LM133.TextGrid
neshumi neSum  % XX116LM001.TextGrid
nesibhozo nesib_0OzO  % XX360LF007.TextGrid
nesifo nesifO  % XX001LF031.TextGrid XX011LF036.TextGrid XX012LF032.TextGrid XX013LF030.TextGrid XX014LF032.TextGrid XX016LM025.TextGrid XX025LF038.TextGrid XX026LF024.TextGrid XX038LF025.TextGrid XX039LM028.TextGrid XX041LF024.TextGrid XX044CF021.TextGrid XX047LM031.TextGrid XX050CF029.TextGrid XX054CF022.TextGrid XX055LF021.TextGrid XX056CF028.TextGrid XX058CF024.TextGrid XX064CF036.TextGrid XX067LF026.TextGrid XX069LF021.TextGrid XX069LF022.TextGrid XX075CM037.TextGrid XX077CM034.TextGrid XX077LM034.TextGrid XX102CF032.TextGrid XX102CM032.TextGrid XX115LF038.TextGrid XX116LF028.TextGrid XX120LF024.TextGrid XX128LF035.TextGrid XX130LF032.TextGrid XX131LM037.TextGrid XX132LM032.TextGrid XX136LF022.TextGrid XX139LF027.TextGrid XX144CF025.TextGrid XX147CF021.TextGrid XX151CM034.TextGrid XX152LM027.TextGrid XX155CM022.TextGrid XX156CF031.TextGrid XX161CF021.TextGrid XX162CF021.TextGrid XX164CF021.TextGrid XX167CF023.TextGrid XX170CF032.TextGrid XX172LM029.TextGrid XX173LM026.TextGrid XX174LM021.TextGrid XX180LM032.TextGrid XX182LM021.TextGrid XX183LM021.TextGrid XX184LM032.TextGrid XX196LF029.TextGrid XX197LM025.TextGrid XX202LM030.TextGrid XX208CF038.TextGrid XX209CF023.TextGrid XX211LM031.TextGrid XX213LF037.TextGrid XX215LF030.TextGrid XX218LF035.TextGrid XX220LF137.TextGrid XX234CM035.TextGrid XX245CF036.TextGrid XX268LM034.TextGrid XX269LF023.TextGrid XX273LF023.TextGrid XX313CF025.TextGrid XX319CF026.TextGrid XX340CF027.TextGrid XX341LF032.TextGrid XX396LM029.TextGrid XX397LM037.TextGrid XX400CF023.TextGrid
nesifo nesif  % XX067LF026.TextGrid XX179LM032.TextGrid
nesifo nezifO  % XX210LM028.TextGrid
nesifo nesfO  % XX227LF038.TextGrid
nesifo nEsfO  % XX021CM023.TextGrid
nesine nesinE  % XX360LF007.TextGrid
nesinye nesiJE  % XX096LM028.TextGrid
nesithandathu nast_handat_hu  % XX164CF005.TextGrid
nesithandathu nest_handat_hu  % XX032LF015.TextGrid
nesithathu nesit_hat_hu  % XX360LF007.TextGrid
nesixhenxe nesi|\|\E|\|\~E  % XX360LF007.TextGrid
nethoba nEt_hOb_<a  % XX094LF006.TextGrid XX096LM028.TextGrid
new nju  % XX294LM013.TextGrid
nezifo nezifO  % XX023LF025.TextGrid XX131LM131.TextGrid
neziqhushumbisi nezi!\_huSumbisi  % XX155CM022.TextGrid
ngakwaNomzamo Ngak_>wanOmzamO  % XX396LM013.TextGrid
ngale NgalE  % XX063LF025.TextGrid XX272LF031.TextGrid XX323LF032.TextGrid XX327LF020.TextGrid
ngalo NgalO  % XX024LM020.TextGrid XX187LM011.TextGrid XX188LM011.TextGrid XX312LM019.TextGrid XX359LF011.TextGrid XX360LF011.TextGrid
ngalo NgalO:  % XX072LF020.TextGrid
ngaloo NgalO:  % XX022LF026.TextGrid XX035LF036.TextGrid XX108LM023.TextGrid XX108LM036.TextGrid XX213LF027.TextGrid XX227LF037.TextGrid
ngamafu Ngama:fu  % XX359LF022.TextGrid
ngamagama Ngamagama  % XX138CM017.TextGrid
ngamakhulu Ngamak_hulu  % XX131LM133.TextGrid
ngamanzi Ngamand-\z  % XX044CF038.TextGrid
ngamanzi Ngamand-\zi  % XX221LF026.TextGrid
ngamashumi NgamaSumi  % XX015LF005.TextGrid XX041LF005.TextGrid XX062LF005.TextGrid XX102CF015.TextGrid XX111LF005.TextGrid XX116LM006.TextGrid XX132LM005.TextGrid XX202LM005.TextGrid XX301LF005.TextGrid XX339CM015.TextGrid XX346LM015.TextGrid XX360LF005.TextGrid XX387LF014.TextGrid XX389LF014.TextGrid XX389LF015.TextGrid
ngamashumi NgamaSum  % XX007LF215.TextGrid XX032LF005.TextGrid XX032LF014.TextGrid XX063LF005.TextGrid XX113LF005.TextGrid XX301LF005.TextGrid XX330LF005.TextGrid XX330LF015.TextGrid XX385LF005.TextGrid
ngamashumi gamaSumi  % XX080LM005.TextGrid XX151CM005.TextGrid
ngamashumi gamashum  % XX033LF005.TextGrid
ngamashumi gamaSum  % XX149LF005.TextGrid
ngamashumi amaSumi  % XX202LM015.TextGrid
ngamashumi;amabini NgamaSumamab_<in  % XX330LF014.TextGrid
ngamashumi;amabini NgamaSumamab_<ini  % XX096LM015.TextGrid
ngamawaka Ngamawak_>a  % XX359LF023.TextGrid XX359LF025.TextGrid
ngamaxabiso Ngama|\|\ab_<isO  % XX318LM031.TextGrid
ngamhla NgamKa  % XX360LF006.TextGrid
ngaphezu Ngap_hezu  % XX002LF025.TextGrid XX225LF025.TextGrid
ngaphezu Nap_hezu  % XX111LF023.TextGrid
ngaphi Ngap_hi  % XX007LF017.TextGrid
nge NgE  % XX000LM106.TextGrid XX001LF006.TextGrid XX031LF006.TextGrid XX056CF006.TextGrid XX155CM006.TextGrid XX208CF006.TextGrid XX275LM006.TextGrid XX276LF006.TextGrid XX328LF006.TextGrid XX332LF006.TextGrid XX334CM006.TextGrid XX377LM106.TextGrid
nge Nge  % XX031LF006.TextGrid
ngeCawe NgE|\awE  % XX024LM034.TextGrid XX152LM014.TextGrid XX175LM030.TextGrid XX215LF038.TextGrid XX241LF036.TextGrid
ngeKrismesi Ngekrismesi  % XX038LF024.TextGrid XX234CM033.TextGrid XX318LM027.TextGrid
ngeKrismesi Ngekrismes  % XX239LF036.TextGrid
ngee NgE:  % XX080LM006.TextGrid
ngeehotele NgE:h\Ot_>ElE  % XX147CF034.TextGrid XX173LM023.TextGrid
ngegqudu Nge!\_vud_0u  % XX227LF022.TextGrid
ngegqudu Nge!\_vudu  % XX143LM023.TextGrid
ngehotela NgEh\OtEla  % XX397LM021.TextGrid
ngehotele NgEh\Ot_>ElE  % XX397LM025.TextGrid
ngekomityi NgEk_>omic_>i  % XX101LF028.TextGrid XX276LF033.TextGrid XX332LF034.TextGrid
ngekomityi NgEk_>Omic_>i  % XX339CM024.TextGrid
ngekrismesi Ngek_>rismEsE  % XX381LF028.TextGrid
ngelinye NgeliJE  % XX013LF032.TextGrid XX106LF032.TextGrid XX119LF031.TextGrid XX123CF021.TextGrid XX123CF025.TextGrid XX161CF031.TextGrid XX164CM021.TextGrid XX220LF130.TextGrid XX269LF024.TextGrid XX270LF027.TextGrid XX280LM036.TextGrid XX304LF026.TextGrid XX335CM032.TextGrid XX338CM031.TextGrid XX381LF031.TextGrid
ngelishwa;ayikho NgeliSwajik_hO  % XX077LM007.TextGrid
ngemali NgEmali  % XX044CF037.TextGrid XX047LM035.TextGrid XX072LF021.TextGrid XX085LM023.TextGrid XX303LF036.TextGrid XX312LM035.TextGrid XX332LF026.TextGrid
ngemela NgEmEla  % XX209CF021.TextGrid XX297LM031.TextGrid
ngemibala Ngemib_<ala  % XX117LF036.TextGrid XX294LM032.TextGrid XX319CF030.TextGrid XX332LF024.TextGrid XX355LF036.TextGrid
ngeminyaka NgemiJak_>  % XX384LM005.TextGrid
ngempela NgEmp_>Ela  % XX387LF022.TextGrid
ngempelaveki NgEmp_>Elavek_>i  % XX014LF033.TextGrid XX085LM027.TextGrid XX139LF023.TextGrid XX156CF025.TextGrid XX161CF027.TextGrid
ngena NgEna  % XX172LM021.TextGrid
ngenamba Ngenamba  % XX360LF007.TextGrid
ngendlela NgEnd-\K\Ela  % XX115LF023.TextGrid XX324LF029.TextGrid
ngendyondyo NgEnJ\OnJ\O  % XX356LF027.TextGrid
ngengqiqo Nge!\_v~i!\O  % XX001LF031.TextGrid XX011LF036.TextGrid XX013LF030.TextGrid XX014LF032.TextGrid XX016LM025.TextGrid XX023LF025.TextGrid XX025LF038.TextGrid XX026LF024.TextGrid XX038LF025.TextGrid XX039LM028.TextGrid XX041LF024.TextGrid XX044CF021.TextGrid XX047LM031.TextGrid XX050CF029.TextGrid XX054CF022.TextGrid XX055LF021.TextGrid XX056CF028.TextGrid XX058CF024.TextGrid XX064CF036.TextGrid XX067LF026.TextGrid XX069LF021.TextGrid XX069LF022.TextGrid XX077LM034.TextGrid XX102CF032.TextGrid XX102CM032.TextGrid XX115LF038.TextGrid XX116LF028.TextGrid XX120LF024.TextGrid XX128LF035.TextGrid XX130LF032.TextGrid XX131LM131.TextGrid XX132LM032.TextGrid XX136LF022.TextGrid XX139LF027.TextGrid XX144CF025.TextGrid XX151CM034.TextGrid XX155CM022.TextGrid XX156CF031.TextGrid XX162CF021.TextGrid XX164CF021.TextGrid XX170CF032.TextGrid XX172LM029.TextGrid XX173LM026.TextGrid XX174LM021.TextGrid XX179LM032.TextGrid XX182LM021.TextGrid XX183LM021.TextGrid XX184LM032.TextGrid XX196LF029.TextGrid XX197LM025.TextGrid XX202LM030.TextGrid XX213LF037.TextGrid XX218LF035.TextGrid XX220LF137.TextGrid XX227LF038.TextGrid XX234CM035.TextGrid XX268LM034.TextGrid XX269LF023.TextGrid XX311CM029.TextGrid XX313CF025.TextGrid XX319CF026.TextGrid XX340CF027.TextGrid XX341LF032.TextGrid XX396LM029.TextGrid XX397LM037.TextGrid XX400CF023.TextGrid
ngengqiqo Nge!\_v~i!\  % XX075CM037.TextGrid XX077CM034.TextGrid XX147CF021.TextGrid XX180LM032.TextGrid
ngengqiqo Nge:!\_v~i!\O  % XX209CF023.TextGrid XX210LM028.TextGrid XX211LM031.TextGrid
ngengqiqo Nge!\_v~i:!\O  % XX131LM037.TextGrid XX167CF023.TextGrid
ngengqiqo Nge!\_v~ik_>O  % XX012LF032.TextGrid
ngengqiqo ne!\_v~i!\O  % XX273LF023.TextGrid
ngengqiqo Nge!\_v~i!\_v~O  % XX152LM027.TextGrid
ngengqiqo Nge:!\_v~i!\~O  % XX208CF038.TextGrid
ngengubo NgeNgub_<O  % XX072LF030.TextGrid XX098LF031.TextGrid XX120LF037.TextGrid XX120LM021.TextGrid
ngenja NgEnd-\Za  % XX022LF031.TextGrid
ngenja NgEnd-\Z  % XX040LM025.TextGrid
ngenja;ixukuxa Ngend-\Zi|\|\uk_>u|\|\a  % XX022LF031.TextGrid XX044CF026.TextGrid
ngenjixukuxa NgeJd-\Zi|\|\uk_>u|\|\a  % XX258LM028.TextGrid
ngenjixukuxa NgeJd-\Zi?|\|\uk_>u|\|\a  % XX172LM023.TextGrid
ngenqgiqo ne!\_v~i!\O  % XX021CM023.TextGrid
ngentlazane NgEnt-\K_>azanE  % XX062LF021.TextGrid XX396LM021.TextGrid
ngento NgEnt_>O  % XX106LF036.TextGrid XX113LF029.TextGrid
ngento NgE:nt_>O  % XX348LM031.TextGrid
ngenxa NgE|\|\~a  % XX102CF029.TextGrid XX102CM029.TextGrid
ngenyanga NgEJaNga  % XX026LF006.TextGrid XX161CF006.TextGrid
ngesantya NgEsaJc_>a  % XX035LF028.TextGrid XX053LM024.TextGrid XX146LM036.TextGrid XX382LM025.TextGrid
ngesixhosa NgEs|\|\_hOsa  % XX173LM017.TextGrid
ngezinye NgeziJE  % XX053LM035.TextGrid XX144CF035.TextGrid XX209CF029.TextGrid XX340CF038.TextGrid XX385LF028.TextGrid
ngiswayo Ngiswaj  % XX000LF003.TextGrid
ngo NgO  % XX000LM214.TextGrid XX006LF006.TextGrid XX007LF006.TextGrid XX015LF006.TextGrid XX026LF006.TextGrid XX041LF006.TextGrid XX044CF006.TextGrid XX050CF006.TextGrid XX055LF006.TextGrid XX058CF006.TextGrid XX058CF030.TextGrid XX062LF006.TextGrid XX063LF006.TextGrid XX065LF006.TextGrid XX076LM025.TextGrid XX080LM006.TextGrid XX086LM014.TextGrid XX087LM006.TextGrid XX087LM014.TextGrid XX091LM006.TextGrid XX100LM106.TextGrid XX100LM128.TextGrid XX103LM006.TextGrid XX108LM006.TextGrid XX109CF006.TextGrid XX110LF006.TextGrid XX110LF028.TextGrid XX111LF006.TextGrid XX113LF006.TextGrid XX116LF006.TextGrid XX120LM006.TextGrid XX128LF006.TextGrid XX131LM106.TextGrid XX138CM014.TextGrid XX155CM033.TextGrid XX193LM006.TextGrid XX208CF006.TextGrid XX218LF006.TextGrid XX245CF006.TextGrid XX258LM006.TextGrid XX268LM006.TextGrid XX339CM006.TextGrid XX350LM006.TextGrid XX355LF006.TextGrid XX384LM015.TextGrid
ngo O  % XX113LF023.TextGrid XX335CM006.TextGrid
ngo Ngo  % XX031LF006.TextGrid
ngo NO  % XX016LM014.TextGrid XX075CM006.TextGrid
ngoDisemba NgodisEmba  % XX350LM006.TextGrid
ngoLwesibini NgOlwesib_<ini  % XX040LM035.TextGrid XX110LF028.TextGrid XX152LM028.TextGrid XX155CM033.TextGrid XX220LF026.TextGrid XX220LF027.TextGrid XX332LF035.TextGrid XX334CM023.TextGrid XX361LM020.TextGrid XX397LM028.TextGrid
ngoLwesibini NgOlwesib_<in  % XX210LM037.TextGrid XX218LF027.TextGrid
ngoLwesibini NgOlwesb_<ini  % XX294LM033.TextGrid
ngoLwesibini NgOlwEsb_<ini  % XX032LF033.TextGrid
ngoLwesibini gOlwesib_<ini  % XX096LM031.TextGrid
ngoLwesibini NOlwesib_<ini  % XX113LF023.TextGrid
ngoLwesihlanu NgOlwesiKanu  % XX044CF024.TextGrid XX064CF037.TextGrid XX082LF030.TextGrid XX083LM035.TextGrid XX091LM036.TextGrid XX111LF035.TextGrid XX162CF026.TextGrid XX211LM037.TextGrid XX220LF135.TextGrid XX221LF032.TextGrid XX264LM034.TextGrid XX299LF033.TextGrid XX300LM027.TextGrid XX311CM037.TextGrid XX316LM020.TextGrid XX324LF021.TextGrid XX356LF028.TextGrid XX385LF021.TextGrid
ngoLwesihlanu NgOlwesiKan  % XX144CF029.TextGrid XX161CF023.TextGrid
ngoLwesihlanu NgOlesiKanu  % XX044CF021.TextGrid XX326LF030.TextGrid
ngoLwesihlanu NgOlweKa:nu  % XX180LM023.TextGrid
ngoLwesihlanu gOlesiKanu  % XX050CF027.TextGrid
ngoLwesihlanu gOlwEKanu  % XX069LF030.TextGrid
ngoLwesihlanu NgOlEKa:n  % XX238LM035.TextGrid
ngoLwesihlanu NgOlwEsiKanu  % XX164CM022.TextGrid
ngoLwesihlanu NgOlwesiKani  % XX001LF038.TextGrid
ngoLwesihlanu NgOlwesiKa:n  % XX174LM035.TextGrid
ngoLwesine NgOlwesinE  % XX002LF036.TextGrid XX033LF026.TextGrid XX089LF020.TextGrid XX128LF024.TextGrid XX162CF030.TextGrid XX164CF030.TextGrid XX220LF027.TextGrid XX227LF031.TextGrid XX259LM028.TextGrid XX335CM035.TextGrid XX377LM025.TextGrid XX377LM125.TextGrid XX396LM036.TextGrid
ngoLwesine NgOlwesi:nE  % XX076LM025.TextGrid XX244LF028.TextGrid
ngoLwesine NOlwesi:nE  % XX167CF032.TextGrid
ngoLwesine NgOlwEsinE  % XX101LF036.TextGrid
ngoLwesine NOlwesinE  % XX062LF028.TextGrid
ngoLwesine NgOlesinE  % XX085LM022.TextGrid
ngoLwesithathu NgOlwesit_hat_hu  % XX086LM036.TextGrid XX108LM022.TextGrid XX108LM033.TextGrid XX130LF029.TextGrid XX146LM026.TextGrid XX150LF031.TextGrid XX173LM021.TextGrid XX186LM029.TextGrid XX202LM033.TextGrid XX269LF021.TextGrid XX273LF026.TextGrid XX304LF022.TextGrid XX327LF023.TextGrid XX400CF037.TextGrid
ngoLwesithathu NgOlwest_hat_hu  % XX255LM026.TextGrid XX349LM023.TextGrid
ngoLwesithathu NgOlwesit_hat_h  % XX013LF029.TextGrid XX337LF020.TextGrid
ngoLwesithathu gOlwesit_hat_hu  % XX054CF027.TextGrid XX149LF120.TextGrid
ngoMgqibelo Ngom!\_vib_<ElO  % XX012LF036.TextGrid XX025LF036.TextGrid XX115LF034.TextGrid XX139LF026.TextGrid XX177LF028.TextGrid XX318LM025.TextGrid XX347LF023.TextGrid XX348LM028.TextGrid
ngoMgqibelo gom!\_vib_<ElO  % XX016LM035.TextGrid XX172LM037.TextGrid
ngoMgqibelo Ngom=!\_vib_<El  % XX268LM028.TextGrid
ngoMgqibelo Ngom=!\_vib_<ElO  % XX240LF033.TextGrid
ngoMgqibelo Nom=!\_vib_<ElO  % XX209CF026.TextGrid
ngoMgqibelo gom!\_vib_<El  % XX069LF029.TextGrid
ngoMgqibelo Ngom!\_vib_<E:lO  % XX041LF030.TextGrid
ngoMvulo NgomvulO  % XX007LF029.TextGrid XX015LF024.TextGrid XX035LF021.TextGrid XX047LM026.TextGrid XX050CF025.TextGrid XX053LM028.TextGrid XX058CF030.TextGrid XX096LM020.TextGrid XX117LF025.TextGrid XX134LF027.TextGrid XX156CF036.TextGrid XX177LF036.TextGrid XX264LM023.TextGrid XX331LF020.TextGrid XX339CM035.TextGrid XX340CF033.TextGrid XX377LM033.TextGrid XX377LM133.TextGrid XX384LM024.TextGrid
ngoMvulo Ngom=vulO  % XX207LF020.TextGrid XX242LF036.TextGrid
ngoMvulo Ngom=vul  % XX269LF033.TextGrid
ngoMvulo gomvulO  % XX151CM025.TextGrid
ngobusuku Ngob_<usuk_>u  % XX001LF035.TextGrid XX075CM038.TextGrid XX079CF033.TextGrid XX145LM033.TextGrid XX180LM025.TextGrid
ngoka NgOk_>a  % XX263LM006.TextGrid
ngoku Ngok_>u  % XX000LM115.TextGrid XX002LF015.TextGrid XX004CF015.TextGrid XX007LF015.TextGrid XX026LF015.TextGrid XX031LF015.TextGrid XX037LF023.TextGrid XX047LM015.TextGrid XX054CF015.TextGrid XX058CF015.TextGrid XX074LF015.TextGrid XX074LF036.TextGrid XX075CM015.TextGrid XX077CM015.TextGrid XX077LM015.TextGrid XX080LM015.TextGrid XX082LF026.TextGrid XX094LF015.TextGrid XX096LM015.TextGrid XX097LM020.TextGrid XX100LM015.TextGrid XX108LM011.TextGrid XX108LM015.TextGrid XX108LM022.TextGrid XX108LM030.TextGrid XX131LM121.TextGrid XX131LM125.TextGrid XX138CM015.TextGrid XX138CM024.TextGrid XX146LM015.TextGrid XX151CM015.TextGrid XX155CM035.TextGrid XX162CF025.TextGrid XX187LM015.TextGrid XX188LM015.TextGrid XX191LM001.TextGrid XX191LM020.TextGrid XX191LM023.TextGrid XX208CF025.TextGrid XX208CF028.TextGrid XX215LF015.TextGrid XX218LF015.TextGrid XX234CM015.TextGrid XX245CF015.TextGrid XX258LM015.TextGrid XX268LM011.TextGrid XX297LM015.TextGrid XX301LF015.TextGrid XX318LM015.TextGrid XX324LF015.TextGrid XX328LF015.TextGrid XX328LF035.TextGrid XX329LF029.TextGrid XX331LF015.TextGrid XX332LF015.TextGrid XX335CM015.TextGrid XX335CM019.TextGrid XX335CM026.TextGrid XX339CM015.TextGrid XX350LM015.TextGrid XX351LM015.TextGrid XX351LM019.TextGrid XX360LF015.TextGrid XX361LM015.TextGrid XX382LM015.TextGrid XX396LM015.TextGrid
ngoku Ngok_>  % XX000CM014.TextGrid XX006LF029.TextGrid XX144CF027.TextGrid XX144CF028.TextGrid XX164CF025.TextGrid XX179LM036.TextGrid XX208LF021.TextGrid XX208LF034.TextGrid XX213LF011.TextGrid XX213LF015.TextGrid XX255LM020.TextGrid XX327LF015.TextGrid XX327LF029.TextGrid
ngoku Ngo:k_>u  % XX004CF029.TextGrid XX130LF015.TextGrid
ngoku NgOk_>u  % XX193LM017.TextGrid XX334CM015.TextGrid
ngoku gok_>u  % XX086LM020.TextGrid
ngoku Ngo  % XX310LM007.TextGrid
ngokucacileyo Ngok_>u|\a|\ilEjO  % XX131LM016.TextGrid
ngokuhlwa Ngok_>uKwa  % XX015LF033.TextGrid XX210LM024.TextGrid XX294LM035.TextGrid XX400CF036.TextGrid
ngokuhlwa Ngok_>u:Kwa  % XX131LM115.TextGrid
ngokukhawuleza Ngok_>uk_hawulEz  % XX082LF032.TextGrid
ngokukhawuleza Ngok_>uk_hawlEza  % XX298LF025.TextGrid
ngokukhawuleza Ngok_>uk_hawulE:za  % XX041LF021.TextGrid
ngokukhawuleza Ngowuk_hawulEz  % XX258LM034.TextGrid
ngokuthabatha Ngok_>ut_hab_<at_ha  % XX312LM036.TextGrid
ngokwakhe NgOk_>wak_h  % XX377LM002.TextGrid
ngokwaneleyo NgOk_>wanElEjO  % XX162CF025.TextGrid XX164CF025.TextGrid XX208CF025.TextGrid XX208LF021.TextGrid XX208LF034.TextGrid XX328LF035.TextGrid
ngokwaneleyo NgOk_>wanElEj  % XX179LM036.TextGrid XX327LF029.TextGrid
ngokwaneleyo NgOk_>wanElE:jO  % XX208CF028.TextGrid
ngolunye NgoluJE  % XX011LF034.TextGrid XX064CF030.TextGrid XX119LF026.TextGrid XX146LM030.TextGrid XX220LF121.TextGrid XX262LM022.TextGrid XX275LM034.TextGrid XX335CM031.TextGrid XX341LF034.TextGrid
ngolunye Ngolu:JE  % XX076LM030.TextGrid XX170CF026.TextGrid
ngolwesibini NgOlwesib_<ini  % XX388LF025.TextGrid
ngolwesihlanu NgOlwesiKanu  % XX004CF025.TextGrid XX176LF030.TextGrid XX387LF032.TextGrid
ngolwesine NgOlwesinE  % XX381LF027.TextGrid
ngolwesithathu NgOlwesit_hat_hu  % XX031LF024.TextGrid
ngomama NgOmama  % XX234CM030.TextGrid
ngomhla NgOmKa  % XX001LF038.TextGrid XX002LF036.TextGrid XX006LF028.TextGrid XX007LF006.TextGrid XX011LF038.TextGrid XX014LF036.TextGrid XX015LF024.TextGrid XX016LM035.TextGrid XX023LF022.TextGrid XX024LM006.TextGrid XX025LF036.TextGrid XX026LF006.TextGrid XX026LF021.TextGrid XX029LF031.TextGrid XX031LF024.TextGrid XX032LF033.TextGrid XX033LF026.TextGrid XX037LF035.TextGrid XX038LF026.TextGrid XX039LM022.TextGrid XX050CF027.TextGrid XX053LM006.TextGrid XX053LM028.TextGrid XX054CF027.TextGrid XX058CF030.TextGrid XX062LF006.TextGrid XX062LF014.TextGrid XX063LF026.TextGrid XX064CF037.TextGrid XX076LM025.TextGrid XX080LM023.TextGrid XX084LM036.TextGrid XX086LM014.TextGrid XX087LM031.TextGrid XX088LM029.TextGrid XX089LF020.TextGrid XX090LM036.TextGrid XX091LM020.TextGrid XX096LM031.TextGrid XX102CF006.TextGrid XX106LF034.TextGrid XX108LM006.TextGrid XX110LF028.TextGrid XX118LF034.TextGrid XX120LM028.TextGrid XX130LF029.TextGrid XX131LM036.TextGrid XX131LM130.TextGrid XX134LF027.TextGrid XX136LF034.TextGrid XX144CF029.TextGrid XX145LM025.TextGrid XX150LF014.TextGrid XX152LM028.TextGrid XX155CM033.TextGrid XX157CF021.TextGrid XX162CF026.TextGrid XX162CF030.TextGrid XX164CF030.TextGrid XX164CM022.TextGrid XX170CF038.TextGrid XX172LM037.TextGrid XX177LF028.TextGrid XX184LM026.TextGrid XX186LM029.TextGrid XX187LM006.TextGrid XX191LM001.TextGrid XX193LM028.TextGrid XX200LF026.TextGrid XX202LM006.TextGrid XX202LM033.TextGrid XX208CF024.TextGrid XX225LF021.TextGrid XX238LM030.TextGrid XX239LF025.TextGrid XX243LF006.TextGrid XX244LF006.TextGrid XX244LF028.TextGrid XX255LM026.TextGrid XX258LM030.TextGrid XX264LM034.TextGrid XX270LF024.TextGrid XX275LM025.TextGrid XX280LM029.TextGrid XX281LF025.TextGrid XX282LF024.TextGrid XX299LF033.TextGrid XX300LM027.TextGrid XX301LF014.TextGrid XX303LF021.TextGrid XX304LF022.TextGrid XX311CM023.TextGrid XX312LM036.TextGrid XX313CF032.TextGrid XX314LF036.TextGrid XX318LM025.TextGrid XX319CF027.TextGrid XX327LF023.TextGrid XX329LF021.TextGrid XX335CM035.TextGrid XX339CM035.TextGrid XX341LF025.TextGrid XX348LM028.TextGrid XX349LM023.TextGrid XX350LM006.TextGrid XX350LM023.TextGrid XX351LM006.TextGrid XX355LF020.TextGrid XX360LF020.TextGrid XX361LM020.TextGrid XX365LM020.TextGrid XX377LM106.TextGrid XX381LF027.TextGrid XX388LF025.TextGrid XX396LM006.TextGrid XX396LM036.TextGrid
ngomhla NgOm=Ka  % XX065LF021.TextGrid XX180LM027.TextGrid XX191LM036.TextGrid XX208LF031.TextGrid XX210LM037.TextGrid XX211LM037.TextGrid XX220LF135.TextGrid XX227LF031.TextGrid XX240LF033.TextGrid XX242LF036.TextGrid XX245CF030.TextGrid XX256LM031.TextGrid XX259LM028.TextGrid XX261LM024.TextGrid XX262LM024.TextGrid XX263LM027.TextGrid XX269LF021.TextGrid XX271LF036.TextGrid XX272LF022.TextGrid XX276LF035.TextGrid XX294LM033.TextGrid XX297LM021.TextGrid XX298LF020.TextGrid XX323LF030.TextGrid XX330LF022.TextGrid XX332LF035.TextGrid XX336CM025.TextGrid XX337LF020.TextGrid XX338CM036.TextGrid
ngomhla gOmKa  % XX047LM026.TextGrid XX069LF029.TextGrid XX075CM032.TextGrid XX102CF027.TextGrid XX110LF006.TextGrid XX113LF023.TextGrid XX116LF034.TextGrid XX143LM022.TextGrid XX147CF023.TextGrid XX149LF120.TextGrid XX188LM023.TextGrid XX316LM006.TextGrid XX316LM020.TextGrid XX325LF027.TextGrid
ngomhla NgO:m=Ka  % XX273LF026.TextGrid
ngomhla NOmKa  % XX173LM021.TextGrid
ngomhla;wamashumi NgOmKamaSumi  % XX079CF036.TextGrid
ngomhlawesibini NgOmKawesib_<ini  % XX389LF027.TextGrid
ngomnyaka NgOmJak_>a  % XX151CM006.TextGrid
ngomso NgOmsO  % XX016LM029.TextGrid XX022LF031.TextGrid XX023LF034.TextGrid XX040LM025.TextGrid XX044CF026.TextGrid XX047LM022.TextGrid XX080LM022.TextGrid XX087LM035.TextGrid XX101LF021.TextGrid XX143LM036.TextGrid XX172LM023.TextGrid XX191LM001.TextGrid XX191LM029.TextGrid XX193LM036.TextGrid XX222LM024.TextGrid XX238LM020.TextGrid XX240LF032.TextGrid XX242LF030.TextGrid XX256LM020.TextGrid XX312LM030.TextGrid
ngomso NgOm=sO  % XX004CF031.TextGrid XX215LF031.TextGrid XX258LM028.TextGrid
ngomso NOmsO  % XX303LF032.TextGrid
ngomsomnye NgOmsOmJE  % XX007LF225.TextGrid XX023LF021.TextGrid XX167CF035.TextGrid XX220LF023.TextGrid
ngomsomnye NgOm=sOm=JE  % XX218LF023.TextGrid XX220LF021.TextGrid XX271LF021.TextGrid
ngomsomnye gOmsOmJE  % XX339CM026.TextGrid
ngomvulo Ngomvu  % XX388LF027.TextGrid
ngomvulo NgomvulO  % XX389LF027.TextGrid
ngomvulo Ngomvu:lO  % XX310LM020.TextGrid
ngonyaka NgOJak_>a  % XX039LM006.TextGrid XX130LF029.TextGrid XX261LM006.TextGrid XX301LF006.TextGrid XX350LM014.TextGrid XX351LM006.TextGrid XX356LF028.TextGrid XX360LF006.TextGrid
ngoo NgO:  % XX172LM020.TextGrid
